ticker,date,open,high,low,close,adjusted_close,volume
BP,2021-10-01,22.15715445184774,22.423913274151907,22.076318118035154,22.31074333190918,22.31074333190918,10620200
BP,2021-10-04,22.609836708134065,22.981683242491798,22.545167946744662,22.64217185974121,22.64217185974121,15151700
BP,2021-10-05,22.957428999100397,23.264606733537608,22.77959031304312,22.973596572875977,22.973596572875977,14724200
BP,2021-10-06,22.61792140437838,22.755342720577854,22.3592463484323,22.72300910949707,22.72300910949707,20228000
BP,2021-10-07,22.609839163468852,22.900849392236115,22.504752992983484,22.82001304626465,22.82001304626465,11055400
BP,2021-10-08,23.199939082110408,23.442446532962872,23.17568772029525,23.337360382080078,23.337360382080078,12630400
BP,2021-10-11,23.76579431108978,23.887048056905666,23.482867876302695,23.523286819458008,23.523286819458008,11035000
BP,2021-10-12,23.458618052234534,23.676875719798147,23.272695539195173,23.523286819458008,23.523286819458008,13346800
BP,2021-10-13,23.232272291783943,23.701121152746502,23.102934781299425,23.59603500366211,23.59603500366211,9066600
BP,2021-10-14,23.92746329123017,23.984048261051733,23.733457019631317,23.806209564208984,23.806209564208984,9777500
BP,2021-10-15,24.226558923248422,24.33973041970286,24.137640333964576,24.194225311279297,24.194225311279297,11813100
BP,2021-10-18,24.21038811089099,24.226554142773114,23.927461738320495,24.016380310058594,24.016380310058594,9172500
BP,2021-10-19,24.186143098764738,24.26697944669223,24.072973136761306,24.13764190673828,24.13764190673828,6069400
BP,2021-10-20,24.07296922965598,24.485233149532096,23.975965319521958,24.355894088745117,24.355894088745117,6858900
BP,2021-10-21,24.161885472048382,24.242721799033035,23.668786806908926,23.798124313354492,23.798124313354492,9281900
BP,2021-10-22,23.798128463731178,23.919382204442375,23.579870805356045,23.854713439941406,23.854713439941406,8098900
BP,2021-10-25,24.129551784181608,24.20230432403758,23.903210377760274,24.016380310058594,24.016380310058594,6590800
BP,2021-10-26,24.089138255241842,24.105305832576477,23.790045783676295,23.959800720214844,23.959800720214844,7329400
BP,2021-10-27,23.652620759448478,24.040633303823586,23.587952002052628,23.6445369720459,23.6445369720459,10507000
BP,2021-10-28,23.539450245773523,23.660703970207525,23.345442436489407,23.620285034179688,23.620285034179688,8716700
BP,2021-10-29,23.42628097997526,23.539452469720604,23.14335456834925,23.272693634033203,23.272693634033203,11075700
BP,2021-11-01,23.596040166315973,23.749627529979747,23.49095245241436,23.668792724609375,23.668792724609375,10519900
BP,2021-11-02,22.93317783988992,22.973595230141903,22.56941516032366,22.585582733154297,22.585582733154297,18798700
BP,2021-11-03,22.205656946703968,22.270325709207924,22.003566871150994,22.03590202331543,22.03590202331543,16392200
BP,2021-11-04,22.35116522065534,22.504754131589305,21.963152590551246,22.076322555541992,22.076322555541992,12463800
BP,2021-11-05,22.57750331094854,22.593670886904352,22.28649311104354,22.512834548950195,22.512834548950195,8295300
BP,2021-11-08,22.682590722466347,22.87659701916519,22.504752002615326,22.650257110595703,22.650257110595703,8086700
BP,2021-11-09,22.74725647692677,22.811925233932698,22.40774511718944,22.795759201049805,22.795759201049805,7522700
BP,2021-11-10,22.90044899209285,22.974057702936406,22.311580865313694,22.426082611083984,22.426082611083984,8165000
BP,2021-11-11,22.565115563577468,22.785941641792785,22.393361427198137,22.417898178100586,22.417898178100586,6749100
BP,2021-11-12,22.360651745608536,22.524226997400252,22.3034008754722,22.39336585998535,22.39336585998535,6929500
BP,2021-11-15,22.44243896304708,22.614191570330156,22.148004139168457,22.53240394592285,22.53240394592285,7681100
BP,2021-11-16,22.867728934901763,22.90862352196271,22.59783090017546,22.63054656982422,22.63054656982422,7109500
BP,2021-11-17,22.548763066729958,22.794125953922894,22.39336672750469,22.434261322021484,22.434261322021484,5335100
BP,2021-11-18,22.11529296800529,22.352475394379407,22.008968574137718,22.319761276245117,22.319761276245117,9157300
BP,2021-11-19,21.56731357824547,21.681815309046275,21.34648747458471,21.452810287475586,21.452810287475586,12258700
BP,2021-11-22,21.469168918258593,22.033501795187036,21.444632163620263,21.80449676513672,21.80449676513672,10026500
BP,2021-11-23,22.13164660534561,22.499690140233575,22.13164660534561,22.45879554748535,22.45879554748535,9979100
BP,2021-11-24,22.29522104333992,22.65508564655473,22.287042125088547,22.61419105529785,22.61419105529785,7204900
BP,2021-11-26,21.07658843174469,21.256519937389736,20.823046668373784,21.231983184814453,21.231983184814453,16770400
BP,2021-11-29,21.665460801769036,21.829036065160054,21.3873837899859,21.41192054748535,21.41192054748535,10096600
BP,2021-11-30,21.321949717621486,21.485524948185358,21.02751492659412,21.231983184814453,21.231983184814453,13760200
BP,2021-12-01,21.7717846272074,21.88628637263462,21.03569752097732,21.05205535888672,21.05205535888672,9829500
BP,2021-12-02,21.63274181813024,22.229788743235762,21.4937033435196,22.131643295288086,22.131643295288086,15192600
