id,ticker,snapshot_date,close_price,return_1d,return_30d,return_120d,return_360d,sentiment_mean,sentiment_max,sentiment_min,num_articles,num_pos_articles,num_neg_articles,pos_share,neg_share,prob_pos_mean,prob_neg_mean,prob_neu_mean,prob_pos_max,prob_neg_max,created_at
954dadb9-b122-468e-822e-4f6ae01fd7f6,BP,2021-10-26,23.959800720214844,-0.0023560334581211873,NaN,NaN,NaN,0.07977642863988876,0.8628285499289632,-0.06736438535153866,10,1,0,0.1,0.0,0.1320029579102993,0.052226529270410535,0.815770510584116,0.8712288737297058,0.10288498550653458,2025-12-01 05:36:09.362506+00
a0313dcc-c7ad-40ef-8aa5-a103f6879317,BP,2021-10-27,23.6445369720459,-0.01315802881043826,NaN,NaN,NaN,0.09399347580038012,0.900426269043237,-0.8501289831474423,10,3,1,0.3,0.1,0.2590932440944016,0.16509976829402148,0.5758069843053818,0.9074123501777649,0.8651725053787231,2025-12-01 05:36:09.362506+00
805c93f3-ecc7-4aa0-961d-80d0a9cfb5aa,BP,2021-10-28,23.620288848876953,-0.0010255275118143947,NaN,NaN,NaN,-0.044016062980517745,0.7862706054002047,-0.9638181659393013,10,2,2,0.2,0.2,0.17463960316963495,0.2186556661501527,0.6067047219723463,0.7955370545387268,0.9710684418678284,2025-12-01 05:36:09.362506+00
25cb598d-dffb-4bbf-b0fb-c8cf55ed7d55,BP,2021-10-29,23.272689819335938,-0.01471612103327613,NaN,NaN,NaN,0.12782716760411858,0.925316670909524,-0.6590276807546616,10,1,1,0.1,0.1,0.23616465143859386,0.10833748383447528,0.6554978560656309,0.9412621259689331,0.8130025267601013,2025-12-01 05:36:09.362506+00
9c60d3bb-ba2d-4058-9016-e6304bbb145c,BP,2021-11-01,23.668794631958008,0.0170201560583243,NaN,NaN,NaN,0.26599366767331956,0.8977245120331645,-0.18045099452137947,10,3,0,0.3,0.0,0.3183024860918522,0.05230881841853261,0.6293886981904506,0.9099539518356323,0.19849398732185364,2025-12-01 05:36:09.362506+00
e0f3ec64-a1dc-41ab-8619-f2551f97b968,BP,2021-11-02,22.585586547851562,-0.045765240729406576,NaN,NaN,NaN,0.09008232513442635,0.9332076208665967,-0.96570750977844,10,3,2,0.3,0.2,0.34538434715941546,0.25530202202498914,0.3993136094883084,0.9468050003051758,0.9741644263267517,2025-12-01 05:36:09.362506+00
8226e2e4-aaf6-4868-be54-4ecc7b4f88de,BP,2021-11-03,22.03590202331543,-0.024337845881112208,NaN,NaN,NaN,0.08218001695349812,0.9307868806645274,-0.7789136618375778,10,2,1,0.2,0.1,0.18738781567662954,0.10520779872313142,0.7074043843895197,0.9448078870773315,0.7987716197967529,2025-12-01 05:36:09.362506+00
352cd098-1a1a-4d31-821d-9d0479415ab8,BP,2021-11-04,22.076318740844727,0.0018341303880609061,NaN,NaN,NaN,0.15893393775655162,0.8945401227101684,-0.1805406715720892,9,2,0,0.2222222222222222,0.0,0.21764291491773394,0.0587089771611823,0.7236481068862809,0.9053799510002136,0.21167902648448944,2025-12-01 05:36:09.362506+00
1c8202d5-3fa2-438a-b7aa-48201439b0eb,BP,2021-11-05,22.512828826904297,0.01977277512540887,NaN,NaN,NaN,0.020300942379981278,0.461724191904068,-0.879646884277463,10,2,1,0.2,0.1,0.17201599460095168,0.1517150522209704,0.676268957555294,0.6620709300041199,0.9041130542755127,2025-12-01 05:36:09.362506+00
80f7c906-5161-47ca-92a7-141403262b43,BP,2021-11-08,22.65025520324707,0.006104358426007206,NaN,NaN,NaN,0.03992256177589297,0.683891648426652,-0.7216897010803223,10,2,1,0.2,0.1,0.17666883151978255,0.13674626974388956,0.6865848913788796,0.703694224357605,0.7450990676879883,2025-12-01 05:36:09.362506+00
3b444d81-bd61-4f46-a6dc-37ad4855e31f,BP,2021-11-09,22.79575538635254,0.006423776765420719,NaN,NaN,NaN,0.15319802397862076,0.8253558343276381,-0.1988843772560358,10,2,0,0.2,0.0,0.22705924231559038,0.07386121833696961,0.6990795597434044,0.8327656388282776,0.217316135764122,2025-12-01 05:36:09.362506+00
bcb754f1-d495-43b8-949b-867fb4381975,BP,2021-11-10,22.42608070373535,-0.016216820910374685,NaN,NaN,NaN,0.2917309450916946,0.9089070307090878,-0.09132870472967625,10,2,0,0.2,0.0,0.3191886227577925,0.027457677666097878,0.6533536911010742,0.9212164282798767,0.10891968756914139,2025-12-01 05:36:09.362506+00
6a640376-04b3-4a8d-9285-9f30d301c8b6,BP,2021-11-11,22.41790199279785,-0.0003646964017274268,NaN,NaN,NaN,-0.022520385993023712,0.8085031285881996,-0.778902929276228,9,1,1,0.1111111111111111,0.1111111111111111,0.11938555455870098,0.1419059405517247,0.7387085258960724,0.8197389841079712,0.8017545342445374,2025-12-01 05:36:09.362506+00
844234e6-83f5-4c48-a43d-429af11dfe56,BP,2021-11-15,22.53240203857422,0.006208896806731312,-0.004847857601416927,NaN,NaN,,,,0,0,0,,,,,,,,2025-12-01 05:36:09.362506+00
