ticker,date,open,high,low,close,adjusted_close,volume,return_1d,return_30d,return_120d,return_360d
BP,2021-10-01,22.157160134502636,22.423919025222553,22.076323779957917,22.310749053955078,22.310749053955078,10620200,,,,
BP,2021-10-04,22.609832898884548,22.98167937059449,22.545164148390377,22.642168045043945,22.642168045043945,15151700,0.01485467790827566,,,
BP,2021-10-05,22.95743090510674,23.264608665046925,22.779592204284672,22.97359848022461,22.97359848022461,14724200,0.014637751761285456,,,
BP,2021-10-06,22.61791950585071,22.755340810515165,22.359244471617583,22.723007202148438,22.723007202148438,20228000,-0.010907793931015153,,,
BP,2021-10-07,22.60983538390521,22.90084556402588,22.504749230986526,22.820009231567383,22.820009231567383,11055400,0.0042688904930583416,,,
BP,2021-10-08,23.19993718599314,23.442444617025615,23.175685826160034,23.337358474731445,23.337358474731445,12630400,0.022670860380214153,,,
BP,2021-10-11,23.765788530053868,23.887042246374747,23.48286216408871,23.52328109741211,23.52328109741211,11035000,0.00796673809000148,,,
BP,2021-10-12,23.458612345919327,23.676869960391706,23.27268987810567,23.52328109741211,23.52328109741211,13346800,0.0,,,
BP,2021-10-13,23.232274169728385,23.70112306858961,23.102936648789072,23.596036911010742,23.596036911010742,9066600,0.003092927950711699,,,
BP,2021-10-14,23.92746329123017,23.984048261051733,23.733457019631317,23.806209564208984,23.806209564208984,9777500,0.008907116648057434,,,
BP,2021-10-15,24.226555103453126,24.33972658206384,24.13763652818905,24.19422149658203,24.19422149658203,11813100,0.016298769920785494,,,
BP,2021-10-18,24.21039195640393,24.226557990853824,23.927465538894175,24.01638412475586,24.01638412475586,9172500,-0.007350406866833636,,,
BP,2021-10-19,24.186135454040013,24.266971776416856,24.072965527807195,24.13763427734375,24.13763427734375,6069400,0.005048643124545338,,,
BP,2021-10-20,24.07296922965598,24.485233149532096,23.975965319521958,24.355894088745117,24.355894088745117,6858900,0.009042303354733994,,,
BP,2021-10-21,24.161891281557395,24.242727627978418,23.66879249785678,23.79813003540039,23.79813003540039,9281900,-0.022900578041291086,,,
BP,2021-10-22,23.798128463731178,23.919382204442375,23.579870805356045,23.854713439941406,23.854713439941406,8098900,0.002377640783407964,,,
BP,2021-10-25,24.129555616854724,24.202308168266516,23.90321417448193,24.01638412475586,24.01638412475586,6590800,0.006777305676779033,,,
BP,2021-10-26,24.089138255241842,24.105305832576477,23.790045783676295,23.959800720214844,23.959800720214844,7329400,-0.0023560334581211873,,,
BP,2021-10-27,23.652620759448478,24.040633303823586,23.587952002052628,23.6445369720459,23.6445369720459,10507000,-0.01315802881043826,,,
BP,2021-10-28,23.539454047415898,23.660707791432486,23.345446206799345,23.620288848876953,23.620288848876953,8716700,-0.0010255275118143947,,,
BP,2021-10-29,23.426277140103032,23.5394486112981,23.14335077485234,23.272689819335938,23.272689819335938,11075700,-0.01471612103327613,,,
BP,2021-11-01,23.596042067801843,23.749629443842448,23.49095434543174,23.668794631958008,23.668794631958008,10519900,0.0170201560583243,,,
BP,2021-11-02,22.933181713295884,22.973599110374348,22.56941897229023,22.585586547851562,22.585586547851562,18798700,-0.045765240729406576,,,
BP,2021-11-03,22.205656946703968,22.270325709207924,22.003566871150994,22.03590202331543,22.03590202331543,16392200,-0.024337845881112208,,,
BP,2021-11-04,22.3511613584664,22.504750242860833,21.963148795409285,22.076318740844727,22.076318740844727,12463800,0.0018341303880609061,,,
BP,2021-11-05,22.577497572465898,22.59366514431243,22.28648744652643,22.512828826904297,22.512828826904297,8295300,0.01977277512540887,,,
BP,2021-11-08,22.682588812394947,22.87659509275677,22.504750107519488,22.65025520324707,22.65025520324707,8086700,0.006104358426007206,,,
